Initial
1961-1-1

Spa	171.985
Dgw	17.0382
Alf	0.00269484
Dgm	150.758
Soc	0.231087
Wic	0.672371
Mec	0.455453
Grd	0.976572

OK	nan

P	R	RM	BF	B	I	DR	PET	ET	SW	SS	GS	INF	PERC	RC	T	H	WEI
56.5703	33.1001	11.2705	0.0842977	NA	2.80213	8.38403	31.2739	31.2739	171.985	0	9.32573	48.1863	12.1258	9.3237	9.82671	NA	1
72.71	36.3821	53.8656	9.10725	NA	44.7584	0	6.14202	6.14202	171.985	0	22.0281	66.568	66.568	21.8096	-0.106787	NA	1
171.418	45.1554	83.9983	21.512	NA	62.4863	0	2.3777	2.3777	171.985	76.106	30.964	92.9343	92.9343	30.448	-2.54553	NA	1
89.5552	35.7966	64.7393	30.2386	NA	34.5007	0	0.0134534	0.0134534	171.985	114.336	17.5367	51.312	51.312	16.8113	-4.98841	NA	1
88.3319	69.7012	87.7213	17.1259	NA	70.5955	0	5.21744	5.21744	171.985	92.4553	34.8102	104.995	104.995	34.3994	-1.83768	NA	1
98.3172	151.674	112.418	33.9947	NA	78.4232	0	18.5852	18.5852	171.985	0	94.5797	172.187	172.187	93.7642	1.50919	NA	1
65.3874	161.048	108.399	92.3639	NA	4.51298	11.5218	34.3363	34.3363	171.985	0	17.2321	53.8656	19.5293	15.0163	3.88436	NA	1
146.224	147.59	77.5163	16.8284	NA	3.06812	57.6198	75.3275	75.3275	171.985	0	10.6124	88.6044	13.2769	10.2087	10.4692	NA	1
75.6193	58.8614	25.7737	10.3638	NA	0	15.4099	90.196	87.7274	144.467	0	0.248624	60.2094	0	0	12.7418	NA	1
119.375	42.4023	32.5007	0.242799	NA	0	32.2579	106.498	102.513	129.071	0	0.00582466	87.1168	0	0	16.1015	NA	1
117.086	30.8097	27.7311	0.0056882	NA	0	27.7254	81.9442	81.9442	136.487	0	0.000136458	89.3602	0	0	14.0718	NA	1
128.222	56.3273	35.938	0.000133261	NA	0.777026	35.1608	54.2005	54.2005	171.985	0	2.58545	93.0612	3.36248	2.58545	12.4034	NA	1
69.0591	34.3918	21.6243	2.52488	NA	6.24726	12.8522	29.1728	29.1728	171.985	0	20.8475	56.207	27.0342	20.7869	8.83061	NA	1
63.6805	37.0046	41.636	20.3591	NA	10.3487	10.9282	7.96972	7.96972	171.985	0	34.9223	52.7524	44.7826	34.4339	1.34931	NA	1
125.231	43.6448	81.295	34.1042	NA	47.1908	0	1.08431	1.08431	171.985	53.9612	23.813	70.1857	70.1857	22.9949	-3.88068	NA	1
121.668	50.5827	48.9631	23.2551	NA	25.708	0	0	0	171.985	137.394	13.0847	38.2348	38.2348	12.5268	-5.75593	NA	1
50.949	38.1707	76.7216	12.7782	NA	63.9434	0	4.44096	4.44096	171.985	88.8006	31.4645	95.1014	95.1014	31.158	-2.41834	NA	1
64.3955	79.7489	93.0676	30.7274	NA	62.3402	0	16.3208	16.3208	171.985	0	75.2722	136.875	136.875	74.5351	0.656524	NA	1
29.3738	101.662	75.8339	73.5088	NA	0	2.32516	43.9157	43.115	155.919	0	1.76345	27.0486	0	0	6.29344	NA	1
175.433	89.6809	81.0718	1.72213	NA	4.15912	75.1906	66.178	66.178	171.985	0	13.8802	100.242	17.998	13.8389	8.55274	NA	1
103.679	79.7833	42.5227	13.555	NA	0	28.9677	97.9818	96.4761	150.22	0	0.32518	74.7111	0	0	14.2671	NA	1
112.739	42.5204	30.2344	0.317562	NA	0	29.9169	94.4055	92.6063	140.436	0	0.00761818	82.8217	0	0	13.7327	NA	1
130.088	45.8073	37.2463	0.0074397	NA	0	37.2388	81.5519	81.5519	151.733	0	0.000178475	92.8494	0	0	14.032	NA	1
65.9412	34.5591	10.3382	0.000174294	NA	0	10.338	50.0118	50.0118	157.325	0	4.18125e-006	55.6032	0	0	11.1136	NA	1
60.5778	38.7243	11.9939	4.08329e-006	NA	2.94772	9.04618	24.1151	24.1151	171.985	0	9.80815	51.5316	12.7559	9.80815	6.47043	NA	1
69.4309	44.3336	33.5159	9.57837	NA	10.9467	12.9909	9.0698	9.0698	171.985	0	36.6533	56.44	47.3702	36.4235	2.23959	NA	1
33.6884	32.8935	58.4457	35.7946	NA	22.6511	0	0	0	171.985	0	11.896	33.6884	33.6884	11.0373	-5.33369	NA	1
43.7459	28.1108	41.0308	11.6173	NA	29.4134	0	0	0	171.985	0	14.6111	43.7459	43.7459	14.3324	-5.25054	NA	1
43.5771	19.4359	42.9215	14.2688	NA	28.6527	0	0.962609	0.962609	171.985	0	14.304	42.6145	42.6145	13.9617	-4.41656	NA	1
58.7362	36.0918	49.888	13.9689	NA	35.919	0	5.31475	5.31475	171.985	0	17.8375	53.4215	53.4215	17.5024	-3.13858	NA	1
58.5162	102.767	27.477	17.4196	NA	10.0573	0	36.4341	36.4341	171.985	0	12.4426	22.0821	22.0821	12.0247	4.42718	NA	1
89.3333	61.1125	33.6571	12.1511	NA	0	21.506	82.9597	82.3131	157.499	0	0.291501	67.8273	0	0	12.0366	NA	1
75.8659	29.208	14.4888	0.284671	NA	0	14.2041	88.5342	84.4446	134.717	0	0.00682915	61.6618	0	0	12.4149	NA	1
73.1784	22.7155	11.3106	0.00666916	NA	0	11.3039	104.837	91.6531	104.938	0	0.000159991	61.8745	0	0	15.7724	NA	1
60.3634	14.1907	5.99149	0.000156242	NA	0	5.99133	79.1597	68.4571	90.8531	0	3.74819e-006	54.3721	0	0	13.4237	NA	1
36.0819	13.5633	1.85337	3.66038e-006	NA	0	1.85336	50.4083	42.3859	82.6957	0	8.78111e-008	34.2285	0	0	11.1858	NA	1
45.7998	13.2164	2.71802	8.57539e-008	NA	0	2.71802	27.3251	27.3251	98.4524	0	2.0572e-009	43.0818	0	0	7.95463	NA	1
73.9447	19.5245	8.43494	2.00901e-009	NA	0	8.43494	9.40131	9.40131	154.561	0	4.81952e-011	65.5097	0	0	2.48982	NA	1
22.4419	15.4749	4.70661e-011	4.70661e-011	NA	0	0	0	0	158.002	19.0008	1.1291e-012	3.4411	0	0	-7.79804	NA	1
41.8171	13.6716	17.9422	1.10265e-012	NA	17.9422	0	0	0	171.985	20.1496	8.74275	40.6683	26.6849	8.74275	-5.61311	NA	1
113.509	10.7365	35.8588	8.53793	NA	27.3209	0	0	0	171.985	93.0245	13.5176	40.6337	40.6337	13.3128	-5.61514	NA	1
74.4871	21.8002	86.8883	13.2009	NA	73.6874	0	9.79973	9.79973	171.985	48.1184	36.2227	109.593	109.593	35.906	-1.56778	NA	1
82.0126	174.05	80.0951	35.3741	NA	44.721	0	31.9407	31.9407	171.985	0	54.3178	98.1903	98.1903	53.4692	3.26454	NA	1
53.2362	93.2925	60.6828	53.0453	NA	0	7.63744	65.0189	63.9626	153.621	0	1.27254	45.5988	0	0	8.35224	NA	1
85.3297	40.7515	18.7692	1.24272	NA	0	17.5265	96.7688	91.6146	129.81	0	0.0298124	67.8032	0	0	14.0346	NA	1
162.407	54.6421	53.6782	0.029114	NA	0	53.6491	98.2718	98.2718	140.297	0	0.000698433	108.758	0	0	14.4715	NA	1
134.314	51.5323	39.6587	0.000682071	NA	0	39.658	83.3063	83.3063	151.646	0	1.63626e-005	94.6558	0	0	14.3888	NA	1
33.2845	34.7091	2.63245	1.59793e-005	NA	0	2.63243	46.0577	43.6452	138.653	0	3.83336e-007	30.6521	0	0	9.78885	NA	1
110.241	41.1968	32.8423	3.74356e-007	NA	6.43905	26.4032	22.6413	22.6413	171.985	0	21.4251	83.8376	27.8641	21.4251	5.73405	NA	1
101.118	67.7921	63.2755	20.9231	NA	14.7978	27.5546	9.52842	9.52842	171.985	0	49.7396	73.5638	64.0354	49.2376	2.59109	NA	1
75.1224	49.5247	98.1232	48.5743	NA	49.5489	0	1.42961	1.42961	171.985	0	25.3092	73.6928	73.6928	24.1439	-3.52423	NA	1
52.6616	25.6456	59.193	24.7163	NA	34.4767	0	1.38523	1.38523	171.985	0	17.3925	51.2763	51.2763	16.7996	-3.8071	NA	1
